TCGA-04-1331-01A-01W-0486-08
TCGA-04-1335-01A-01W-0488-09
TCGA-04-1336-01A-01W-0486-08
TCGA-04-1341-01A-01W-0486-08
TCGA-04-1342-01A-01W-0486-08
TCGA-04-1343-01A-01W-0486-08
TCGA-04-1346-01A-01W-0486-08
TCGA-04-1348-01A-01W-0492-08
TCGA-04-1349-01A-01W-0492-08
TCGA-04-1353-01A-01D-1526-09
TCGA-04-1356-01A-01W-0492-08
TCGA-04-1357-01A-01W-0492-08
TCGA-04-1360-01A-01W-0492-08
TCGA-04-1361-01A-01W-0492-08
TCGA-04-1362-01A-01W-0492-08
TCGA-04-1367-01A-01W-0492-08
TCGA-04-1369-01A-02D-1526-09
TCGA-04-1516-01A-01D-1526-09
TCGA-04-1542-01A-01W-0553-09
TCGA-04-1638-01A-01W-0639-09
TCGA-04-1644-01B-01D-1526-09
TCGA-04-1646-01A-01W-0639-09
TCGA-04-1648-01A-01W-0639-09
TCGA-04-1649-01A-01W-0639-09
TCGA-04-1651-01A-01W-0639-09
TCGA-04-1652-01A-01W-0639-09
TCGA-04-1655-01A-01W-0633-09
TCGA-09-0364-01A-02W-0371-08
TCGA-09-0365-01A-02W-0371-08
TCGA-09-0369-01A-01W-0371-08
TCGA-09-1664-01A-01W-0639-09
TCGA-09-1670-01A-01W-0633-09
TCGA-09-1672-01A-01W-0633-09
TCGA-09-1673-01A-01W-0633-09
TCGA-09-1674-01A-01W-0633-09
TCGA-09-1675-01B-01W-0633-09
TCGA-09-2043-01A-01W-0799-08
TCGA-09-2044-01B-01D-0704-01
TCGA-09-2045-01A-01W-0799-08
TCGA-09-2049-01D-01W-0799-08
TCGA-09-2050-01A-01W-0799-08
TCGA-09-2051-01A-01W-0799-08
TCGA-09-2053-01C-01W-0722-08
TCGA-09-2055-01B-01W-0799-08
TCGA-09-2056-01B-01W-0722-08
TCGA-10-0926-01A-01W-0420-08
TCGA-10-0927-01A-02W-0420-08
TCGA-10-0928-01A-02W-0420-08
TCGA-10-0930-01A-02W-0420-08
TCGA-10-0931-01A-01W-0420-08
TCGA-10-0933-01A-01W-0420-08
TCGA-10-0934-01A-02D-0399-01
TCGA-10-0935-01A-03W-0421-09
TCGA-10-0937-01A-02W-0420-08
TCGA-13-0714-01A-01W-0371-08
TCGA-13-0717-01A-01W-0371-08
TCGA-13-0726-01A-01W-0371-08
TCGA-13-0751-01A-01D-0446-08
TCGA-13-0755-01A-01W-0371-08
TCGA-13-0757-01A-01D-0356-01
TCGA-13-0760-01A-01W-0371-08
TCGA-13-0764-01A-03W-0371-08
TCGA-13-0765-01A-01W-0372-09
TCGA-13-0768-01A-01W-0371-08
TCGA-13-0791-01A-01W-0371-08
TCGA-13-0794-01A-01W-0371-08
TCGA-13-0795-01A-01W-0371-08
TCGA-13-0800-01A-01W-0371-08
TCGA-13-0804-01A-01W-0372-09
TCGA-13-0805-01A-01W-0371-08
TCGA-13-0807-01B-02W-0420-08
TCGA-13-0883-01A-02W-0420-08
TCGA-13-0884-01B-01W-0494-09
TCGA-13-0885-01A-02W-0420-08
TCGA-13-0886-01A-01W-0420-08
TCGA-13-0887-01A-01W-0420-08
TCGA-13-0888-01A-01W-0420-08
TCGA-13-0889-01A-01W-0420-08
TCGA-13-0890-01A-01W-0420-08
TCGA-13-0891-01A-01W-0420-08
TCGA-13-0893-01B-01W-0494-09
TCGA-13-0894-01B-01W-0492-08
TCGA-13-0897-01A-01W-0420-08
TCGA-13-0899-01A-01W-0420-08
TCGA-13-0903-01A-01W-0420-08
