tumor	Signature_APOBEC_ml	Signature_3_ml	Signature_8_ml	Signature_17_ml	Signature_clock_ml	Signature_3_c	exp_sig3	Signature_3_l_rat	Signature_3_mva
PD36009a	0.0690486448	0.87670249	0.01452412	0.008253038	0.031471733	0.3226959655	5.600882794	0.9415989848	0.7924044968
PD36010a	0.00825282	0.98000855	0.00567612	0.003062255	0.0030002917	0.2959481875	5.843520245	0.266782829	0.795974712
PD36011a	0.02881407	0.55556264	0.1407295	0.06725717	0.2076366484	0.181135164	1.18876418	0.4242814875	0.1680977308
PD36013a	0.0005701133	0.961253033	0.01873793	0.001684721	0.0177542591	0.4061536866	10.34269749	0.9001336901	0.9448187829
PD36014a	0	0.55609394	0.08510036	0.15896125	0.1998444404	0.169309845	0	0.674942396	0.2380870757
PD36015a	0.05437278	0.37155608	0.1223182	0.06051484	0.3912380622	0.1689773275	0	0	0.1184750613
PD36016a	0.4407234801	0.42869548	0	0.08877402	0.04180706	0.2369723041	0	0	0.1468036285
PD36017a	0.04319479	0.33630842	0.08708415	0.1067983	0.4266143717	0.1585915803	0	0	0.1155478064
PD36018a	0.05986814	0.38019109	0.03129647	0.38339024	0.1452540722	0.1286384315	0	0	0.1215907137
PD36019a	0.195787272	0.56797264	0	0.1199965	0.1162436	0.1541188618	0.9584053563	0.844111006	0.2417610465
PD36020a	0.1660058374	0.41055344	0.1002404	0.06650378	0.2566965478	0.1180200252	0	0	0.1158083838
PD36021a	0.01888491	0.4375113	0.09939568	0.2323387	0.211869388	0.1574742896	0.3849711602	0.477471226	0.1636415957
PD36022a	0.02451889	0.29925846	0.1321885	0.02332752	0.5207066926	0.2098123896	0	0	0.1016441365
PD36023a	0	0.4023199	0.08518358	0.3373537	0.1751427703	0.1280448376	0.8181701404	0.4742811914	0.157168956
PD36024a	0.03694583	0.8061073	0.04017526	0.08333623	0.03343536	0.4031449248	7.999705392	0.5556643091	0.9274186084
PD36025a	0.001993938	0.94451099	0.02202853	0.001921395	0.0295452003	0.3515286281	8.101276371	0.931659905	0.9219254791
PD36026a	0.1519447325	0.61884339	0.05591675	0.04358466	0.1297104883	0.2306366419	0	0	0.2369384112
PD36027a	0.05192049	0.30319084	0.1695343	0.05155093	0.4238033629	0.1065682118	0	0	0.1063419029
PD36029a	0.0744472	0.7906414	0.03692354	0.01437113	0.08361676	0.3532821662	0	0	0.8273440534
PD36031a	0.9682484821	0.03069830256	0	0.00046703963	0.000586209	0.1604327895	0	0	0.06387857847
PD36033a	0.3910787394	0.53847379	0	0.03074678	0.03970066	0.2059708995	0.1015569282	0.5079453486	0.1950357264
PD36034a	0.05037747	0.7033758	0.02903935	0.17992445	0.03728295	0.2916796338	3.597058551	0.5467154798	0.6111430235
PD36036a	0.0452644	0.49112606	0.1106955	0.14622836	0.2066856091	0.1121494193	0.21343482	0.4846971667	0.1413582973
PD36037a	0.02748277	0.7922926	0.07288422	0.01793271	0.0894076375	0.2865663547	0.3057798887	0.5065088299	0.6373655059
PD36038a	0.127338436	0.71420354	0.05274617	0.02359968	0.0821122572	0.3472509583	2.786387851	0.515538414	0.6652545402
PD36039a	0.2485669316	0.67759129	0.01393284	0.045232876	0.01467613	0.3961774007	5.827886462	0.5175946572	0.8289179108
PD36040a	0.09365496	0.20892219	0.1198798	0.05739569	0.5201473473	0.03240580568	0	0	0.09255345928
PD36041a	0.01425772	0.47528866	0.1039443	0.23256594	0.1739434515	0.2564322745	1.546584836	0.4766661109	0.2609005533
PD36042a	9.63E-08	2.23E-05	5.84E-05	0.99991895	2.77E-07	0.1711680048	0	0	0.1295879283
PD36043a	0.1672567524	0.5856258	0.06055831	0.02846112	0.1580979696	0.241346367	2.710987688	0.6034772026	0.3307607494
PD36044a	0.8664098051	0.1335508354	0	2.01E-05	1.92E-05	0.3596711883	1.985801805	0.418958349	0.1904893331
PD36046a	0.02400673	0.59209413	0.07966904	0.21589285	0.0883373144	0.2278123784	3.302485031	0.5115346523	0.3880174231
PD36047a	0.0007179779	0.733317604	0.05816821	0.10770189	0.1000942281	0.2326054491	0	0	0.4129773551
PD36048a	0.08526395	0.17414459	0.1397008	0.03303329	0.5678573118	0.1703742183	0	0	0.08285112879
PD36049a	0.02794039	0.35873739	0.164494	0.08415219	0.3646761395	0.1145517047	0	0	0.1156984407
PD36050a	0	0.75842109	0.05964671	0.05131442	0.1306178148	0.1284088119	0	0.794666039	0.4458742633
